jersey_number,position,name,dob,nation,nation_code,club,club_country,height_cm,caps,int_goals,c2425_matches,c2425_starts,c2425_minutes,c2425_nineties,c2425_goals,c2425_assists,c2425_pens_scored,c2425_pens_att,c2425_yellows,c2425_reds,c2425_shots,c2425_shots_on_target,c2425_fouls,c2425_interceptions,c2425_tackles_won,c2425_own_goals,c2425_pens_won,c2425_pens_conceded,c2425_match_score,c2425_matched_player,c2526_matches,c2526_starts,c2526_minutes,c2526_nineties,c2526_goals,c2526_assists,c2526_pens_scored,c2526_pens_att,c2526_yellows,c2526_reds,c2526_shots,c2526_shots_on_target,c2526_fouls,c2526_interceptions,c2526_tackles_won,c2526_own_goals,c2526_pens_won,c2526_pens_conceded,c2526_match_score,c2526_matched_player,i2018_matches,i2018_starts,i2018_minutes,i2018_nineties,i2018_goals,i2018_assists,i2018_pens_scored,i2018_pens_att,i2018_yellows,i2018_reds,i2018_shots,i2018_shots_on_target,i2018_fouls,i2018_interceptions,i2018_tackles_won,i2018_own_goals,i2018_pens_won,i2018_pens_conceded,i2018_match_score,i2018_matched_player,i2022_matches,i2022_starts,i2022_minutes,i2022_nineties,i2022_goals,i2022_assists,i2022_pens_scored,i2022_pens_att,i2022_yellows,i2022_reds,i2022_shots,i2022_shots_on_target,i2022_fouls,i2022_interceptions,i2022_tackles_won,i2022_own_goals,i2022_pens_won,i2022_pens_conceded,i2022_match_score,i2022_matched_player
26,DF,MOLINA Nahuel Nahuel MOLINA LUCERO MOLINA,06/04/1998,Argentina,ARG,Atlético De Madrid,ESP,179,60,1,30.0,17.0,1590.0,17.7,0.0,3.0,0.0,0.0,1.0,0.0,9.0,1.0,13.0,14.0,19.0,0.0,,,100.0,Nahuel Molina,26.0,13.0,1331.0,14.8,2.0,2.0,0.0,0.0,4.0,0.0,14.0,4.0,14.0,14.0,24.0,0.0,,,100.0,Nahuel Molina,,,,,,,,,,,,,,,,,,,,,7.0,6.0,567.0,6.3,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,4.0,0.0,,,100.0,Nahuel Molina
1,GK,RYAN Mathew Mathew David RYAN RYAN,08/04/1992,Australia,AUS,Levante UD,ESP,184,104,0,14.0,14.0,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,100.0,Mathew Ryan,36.0,36.0,3240.0,36.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,,,100.0,Mathew Ryan,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,Mathew Ryan,4.0,4.0,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,100.0,Mathew Ryan
2,DF,DEGENEK Milos Milos DEGENEK DEGENEK,28/04/1994,Australia,AUS,APOEL FC,CYP,187,57,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,Miloš Degenek,4.0,2.0,183.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,,,100.0,Miloš Degenek
3,DF,CIRCATI Alessandro Alessandro CIRCATI CIRCATI,10/10/2003,Australia,AUS,Parma,ITA,191,15,1,6.0,6.0,540.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,4.0,5.0,0.0,,,100.0,Alessandro Circati,31.0,31.0,2664.0,29.6,1.0,0.0,0.0,0.0,6.0,0.0,8.0,1.0,30.0,27.0,25.0,0.0,,,100.0,Alessandro Circati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DF,ITALIANO Jacob Jacob Michael ITALIANO ITALIANO,30/07/2001,Australia,AUS,Grazer AK,AUT,177,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DF,BOS Jordan Jordan Jacob BOS BOS,29/10/2002,Australia,AUS,Feyenoord Rotterdam,NED,180,29,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,DF,GERIA Jason Jason Kato GERIA GERIA,10/05/1993,Australia,AUS,Albirex Niigata,JPN,181,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,FW,LECKIE Mathew Mathew Allan LECKIE LECKIE,04/02/1991,Australia,AUS,Melbourne City FC,AUS,181,82,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,100.0,Mathew Leckie,4.0,4.0,333.0,3.7,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,1.0,4.0,0.0,,,100.0,Mathew Leckie
8,MF,METCALFE Connor Connor Isaac METCALFE METCALFE,05/11/1999,Australia,AUS,FC St. Pauli,GER,183,38,2,10.0,3.0,358.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,3.0,5.0,3.0,0.0,0.0,,,100.0,Connor Metcalfe,25.0,3.0,592.0,6.6,0.0,2.0,0.0,0.0,2.0,0.0,16.0,4.0,9.0,6.0,9.0,0.0,,,100.0,Connor Metcalfe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,FW,TOURE Mohamed Mohamed A TOURE TOURE,26/03/2004,Australia,AUS,Norwich City FC,ENG,186,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,FW,HRUSTIC Ajdin Ajdin HRUSTIC HRUSTIC,05/07/1996,Australia,AUS,SC Heracles Almelo,NED,180,37,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,62.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,,100.0,Ajdin Hrustic
11,FW,MABIL Awer Awer Bul MABIL MABIL,15/09/1995,Australia,AUS,CD Castellón,ESP,178,38,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,100.0,Awer Mabil
12,GK,IZZO Paul Paul David IZZO IZZO,06/01/1995,Australia,AUS,Randers FC,DEN,184,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,MF,ONEILL Aiden Aiden Connor O'NEILL O'NEILL,04/07/1998,Australia,AUS,New York City FC,USA,180,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,MF,DEVLIN Cameron Cameron Peter DEVLIN DEVLIN,07/06/1998,Australia,AUS,Heart Of Midlothian FC,SCO,170,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,DF,TREWIN Kai Kai Clifton TREWIN TREWIN,18/05/2001,Australia,AUS,New York City FC,USA,183,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,DF,BEHICH Aziz Aziz BEHICH BEHICH,16/12/1990,Australia,AUS,Melbourne City FC,AUS,170,85,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,1.0,3.0,1.0,0.0,0.0,100.0,Aziz Behich,4.0,4.0,360.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,3.0,3.0,0.0,,,100.0,Aziz Behich
17,FW,IRANKUNDA Nestory Nestory IRANKUNDA IRANKUNDA,09/02/2006,Australia,AUS,Watford FC,ENG,165,17,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,GK,BEACH Patrick Patrick Thomas BEACH BEACH,06/08/2003,Australia,AUS,Melbourne City FC,AUS,189,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,DF,SOUTTAR Harry Harry James SOUTTAR SOUTTAR,22/10/1998,Australia,AUS,Leicester City FC,ENG,198,40,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0,0.0,,,100.0,Harry Souttar
20,FW,VOLPATO Cristian Cristian VOLPATO VOLPATO,15/11/2003,Australia,AUS,US Sassuolo,ITA,187,2,0,,,,,,,,,,,,,,,,,,,,,24.0,11.0,1064.0,11.8,2.0,4.0,0.0,0.0,4.0,0.0,21.0,7.0,19.0,6.0,11.0,0.0,,,100.0,Cristian Volpato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,DF,BURGESS Cameron Cameron Robert BURGESS BURGESS,21/10/1995,Australia,AUS,Swansea City AFC,WAL,194,29,0,18.0,16.0,1541.0,17.1,0.0,2.0,0.0,0.0,0.0,0.0,10.0,3.0,6.0,10.0,13.0,0.0,,,100.0,Cameron Burgess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,MF,IRVINE Jackson Jackson Alexander IRVINE IRVINE,07/03/1993,Australia,AUS,FC St. Pauli,GER,189,84,14,29.0,29.0,2610.0,29.0,0.0,6.0,0.0,0.0,2.0,0.0,41.0,13.0,38.0,35.0,29.0,0.0,,,100.0,Jackson Irvine,24.0,18.0,1624.0,18.0,0.0,1.0,0.0,0.0,2.0,1.0,19.0,4.0,20.0,28.0,17.0,0.0,,,100.0,Jackson Irvine,3.0,0.0,47.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,100.0,Jackson Irvine,4.0,4.0,354.0,3.9,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,7.0,3.0,2.0,0.0,,,100.0,Jackson Irvine
23,FW,VELUPILLAY Nishan Nishan Matthew VELUPILLAY VELUPILLAY,07/05/2001,Australia,AUS,Melbourne Victory FC,AUS,181,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,MF,OKON-ENGSTLER Paul Paul Michael Junior OKON-ENGSTLER OKON-ENGSTLER,24/01/2005,Australia,AUS,Sydney FC,AUS,185,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,DF,HERRINGTON Lucas Lucas HERRINGTON HERRINGTON,05/09/2007,Australia,AUS,Colorado Rapids,USA,193,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,FW,YENGI Tete Tete Owen YENGI YENGI,28/11/2000,Australia,AUS,FC Machida Zelvia,JPN,197,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GK,SCHLAGER Alexander Alexander SCHLAGER SCHLAGER,01/02/1996,Austria,AUT,FC Red Bull Salzburg,AUT,188,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DF,AFFENGRUBER David David Leopold AFFENGRUBER AFFENGRUBER,19/03/2001,Austria,AUT,Elche CF,ESP,185,1,0,,,,,,,,,,,,,,,,,,,,,36.0,33.0,2949.0,32.8,1.0,1.0,0.0,0.0,7.0,1.0,14.0,4.0,34.0,50.0,50.0,0.0,,,100.0,David Affengruber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DF,DANSO Kevin Kevin DANSO DANSO,19/09/1998,Austria,AUT,Tottenham Hotspur FC,ENG,190,34,0,10.0,9.0,842.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,9.0,6.0,4.0,0.0,,,100.0,Kevin Danso,24.0,17.0,1494.0,16.6,0.0,0.0,0.0,0.0,8.0,0.0,11.0,2.0,21.0,25.0,13.0,0.0,,,100.0,Kevin Danso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,MF,SCHLAGER Xaver Xaver SCHLAGER XAVER,28/09/1997,Austria,AUT,RB Leipzig,GER,174,53,4,4.0,2.0,181.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,,,100.0,Xaver Schlager,26.0,21.0,1837.0,20.4,3.0,1.0,0.0,0.0,6.0,0.0,21.0,7.0,25.0,7.0,25.0,0.0,,,100.0,Xaver Schlager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DF,POSCH Stefan Stefan POSCH POSCH,14/05/1997,Austria,AUT,1. FSV Mainz 05,GER,188,54,5,5.0,4.0,387.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,11.0,4.0,11.0,0.0,,,100.0,Stefan Posch,,,,,,,,,,,,,,,,,,,100.0,Stefan Posch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MF,SEIWALD Nicolas Nicolas SEIWALD SEIWALD,04/05/2001,Austria,AUT,RB Leipzig,GER,179,49,1,30.0,20.0,2084.0,23.2,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,27.0,31.0,32.0,0.0,,,100.0,Nicolas Seiwald,33.0,31.0,2694.0,29.9,0.0,2.0,0.0,0.0,2.0,0.0,20.0,7.0,18.0,60.0,47.0,0.0,,,100.0,Nicolas Seiwald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,FW,ARNAUTOVIC Marko Marko ARNAUTOVIC ARNAUTOVIC,19/04/1989,Austria,AUT,FK Crvena Zvezda,SRB,192,135,48,18.0,5.0,549.0,6.1,4.0,2.0,0.0,0.0,1.0,0.0,14.0,6.0,4.0,1.0,6.0,0.0,,,100.0,Marko Arnautović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,DF,ALABA David David ALABA ALABA,24/06/1992,Austria,AUT,Real Madrid C. F.,ESP,180,115,15,7.0,4.0,317.0,3.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,,,100.0,David Alaba,11.0,5.0,424.0,4.7,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,0.0,4.0,0.0,,,100.0,David Alaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,MF,SABITZER Marcel Marcel SABITZER SABITZER,17/03/1994,Austria,AUT,Borussia Dortmund,GER,178,100,26,26.0,18.0,1616.0,18.0,1.0,0.0,0.0,0.0,3.0,0.0,21.0,8.0,12.0,10.0,19.0,0.0,,,100.0,Marcel Sabitzer,26.0,21.0,1817.0,20.2,1.0,2.0,0.0,0.0,3.0,0.0,20.0,4.0,20.0,20.0,19.0,0.0,,,100.0,Marcel Sabitzer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,MF,GRILLITSCH Florian Florian GRILLITSCH GRILLITSCH,07/08/1995,Austria,AUT,SC Braga,POR,186,59,1,13.0,7.0,623.0,6.9,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,6.0,4.0,8.0,0.0,,,100.0,Florian Grillitsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,FW,GREGORITSCH Michael Michael GREGORITSCH GREGORITSCH,18/04/1994,Austria,AUT,FC Augsburg,GER,193,76,24,20.0,5.0,639.0,7.1,2.0,1.0,0.0,0.0,2.0,0.0,16.0,6.0,7.0,1.0,2.0,0.0,,,100.0,Michael Gregoritsch,17.0,11.0,913.0,10.1,6.0,2.0,1.0,1.0,2.0,0.0,29.0,10.0,5.0,5.0,4.0,0.0,,,100.0,Michael Gregoritsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,GK,WIEGELE Florian Florian WIEGELE WIEGELE,21/03/2001,Austria,AUT,FC Viktoria Plzeň,CZE,205,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,GK,PENTZ Patrick Patrick PENTZ PENTZ,02/01/1997,Austria,AUT,Brøndby IF,DEN,183,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,FW,KALAJDZIC Sasa Saša KALAJDŽIĆ KALAJDZIC,07/07/1997,Austria,AUT,LASK Linz,AUT,200,23,4,,,,,,,,,,,,,,,,,,,,,1.0,0.0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,100.0,Saša Kalajdžić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,DF,LIENHART Philipp Philipp LIENHART LIENHART,11/07/1996,Austria,AUT,SC Freiburg,GER,189,42,3,32.0,31.0,2770.0,30.8,1.0,0.0,0.0,0.0,5.0,0.0,8.0,1.0,22.0,31.0,13.0,0.0,,,100.0,Philipp Lienhart,20.0,14.0,1302.0,14.5,1.0,0.0,0.0,0.0,4.0,1.0,8.0,2.0,7.0,13.0,13.0,0.0,,,100.0,Philipp Lienhart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,DF,MWENE Phillip Phillip MWENE MWENE,29/01/1994,Austria,AUT,1. FSV Mainz 05,GER,170,31,0,32.0,32.0,2607.0,29.0,1.0,4.0,0.0,0.0,7.0,0.0,21.0,5.0,24.0,24.0,30.0,0.0,,,96.29629629629629,Phillipp Mwene,29.0,24.0,2069.0,23.0,1.0,2.0,0.0,0.0,4.0,0.0,10.0,2.0,22.0,14.0,20.0,0.0,,,96.29629629629629,Phillipp Mwene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,MF,CHUKWUEMEKA Carney Carney Chibueze CHUKWUEMEKA CHUKWUEMEKA,20/10/2003,Austria,AUT,Borussia Dortmund,GER,187,5,1,10.0,1.0,253.0,2.8,1.0,0.0,0.0,0.0,1.0,0.0,8.0,2.0,4.0,1.0,5.0,0.0,,,100.0,Carney Chukwuemeka,28.0,8.0,919.0,10.2,2.0,0.0,0.0,0.0,2.0,0.0,18.0,2.0,11.0,6.0,15.0,0.0,,,100.0,Carney Chukwuemeka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,MF,SCHMID Romano Romano SCHMID SCHMID,27/01/2000,Austria,AUT,SV Werder Bremen,GER,168,36,4,32.0,32.0,2834.0,31.5,5.0,4.0,1.0,1.0,4.0,0.0,48.0,15.0,28.0,12.0,25.0,0.0,,,100.0,Romano Schmid,34.0,34.0,2982.0,33.1,4.0,8.0,3.0,4.0,4.0,0.0,57.0,21.0,19.0,13.0,28.0,0.0,,,100.0,Romano Schmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,MF,LJUBICIC Dejan Dejan LJUBIČIĆ LJUBICIC,08/10/1997,Austria,AUT,FC Schalke 04,GER,187,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,MF,LAIMER Konrad Konrad LAIMER LAIMER,27/05/1997,Austria,AUT,FC Bayern München,GER,180,59,7,29.0,19.0,1699.0,18.9,2.0,2.0,0.0,0.0,8.0,0.0,18.0,6.0,35.0,5.0,24.0,0.0,,,100.0,Konrad Laimer,29.0,22.0,1994.0,22.2,3.0,9.0,0.0,0.0,9.0,0.0,17.0,8.0,29.0,17.0,25.0,0.0,,,100.0,Konrad Laimer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,FW,WIMMER Patrick Patrick WIMMER WIMMER,30/05/2001,Austria,AUT,VfL Wolfsburg,GER,182,32,1,29.0,22.0,1770.0,19.7,3.0,4.0,0.0,0.0,5.0,1.0,42.0,10.0,35.0,34.0,33.0,0.0,,,100.0,Patrick Wimmer,25.0,21.0,1621.0,18.0,4.0,3.0,0.0,0.0,4.0,0.0,24.0,8.0,28.0,23.0,20.0,0.0,,,100.0,Patrick Wimmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,MF,PRASS Alexander Alexander PRASS PRASS,26/05/2001,Austria,AUT,TSG Hoffenheim,GER,180,20,0,23.0,19.0,1566.0,17.4,0.0,1.0,0.0,0.0,1.0,0.0,12.0,1.0,17.0,11.0,24.0,0.0,,,100.0,Alexander Prass,32.0,12.0,1308.0,14.5,3.0,2.0,0.0,0.0,4.0,0.0,18.0,11.0,26.0,6.0,22.0,0.0,,,100.0,Alexander Prass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,DF,FRIEDL Marco Marco FRIEDL FRIEDL,16/03/1998,Austria,AUT,SV Werder Bremen,GER,187,12,0,26.0,25.0,2161.0,24.0,0.0,0.0,0.0,0.0,10.0,2.0,4.0,3.0,26.0,36.0,41.0,2.0,,,100.0,Marco Friedl,30.0,29.0,2546.0,28.3,1.0,0.0,0.0,0.0,9.0,1.0,8.0,2.0,17.0,35.0,24.0,0.0,,,100.0,Marco Friedl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,MF,WANNER Paul Paul WANNER WANNER,23/12/2005,Austria,AUT,PSV Eindhoven,NED,185,5,0,29.0,20.0,1771.0,19.7,3.0,2.0,1.0,1.0,2.0,0.0,25.0,6.0,23.0,3.0,28.0,0.0,,,100.0,Paul Wanner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,DF,SVOBODA Michael Michael SVOBODA SVOBODA,15/10/1998,Austria,AUT,Venezia FC,ITA,195,4,0,16.0,15.0,1314.0,14.6,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,6.0,22.0,16.0,0.0,,,100.0,Michael Svoboda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,MF,SCHOEPF Alessandro Alessandro Andre SCHÖPF SCHÖPF,07/02/1994,Austria,AUT,Wolfsberger AC,AUT,178,35,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GK,COURTOIS Thibaut Thibaut Nicolas M COURTOIS COURTOIS,11/05/1992,Belgium,BEL,Real Madrid C. F.,ESP,199,111,0,30.0,30.0,2700.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,100.0,Thibaut Courtois,32.0,32.0,2880.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,100.0,Thibaut Courtois,7.0,7.0,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,Thibaut Courtois,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,100.0,Thibaut Courtois
2,DF,DEBAST Zeno Zeno Koen DEBAST DEBAST,24/10/2003,Belgium,BEL,Sporting CP,POR,189,26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,Zeno Debast
3,DF,THEATE Arthur Arthur Nicolas R THEATE THEATE,25/05/2000,Belgium,BEL,Eintracht Frankfurt,GER,185,34,1,31.0,31.0,2704.0,30.0,0.0,0.0,0.0,0.0,6.0,1.0,36.0,9.0,14.0,36.0,24.0,0.0,,,100.0,Arthur Theate,24.0,24.0,2141.0,23.8,1.0,0.0,0.0,0.0,8.0,0.0,15.0,7.0,15.0,34.0,21.0,0.0,,,100.0,Arthur Theate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,Arthur Theate
4,DF,MECHELE Brandon Brandon Erik MECHELE MECHELE,28/01/1993,Belgium,BEL,Club Brugge,BEL,190,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DF,DE CUYPER Maxim Maxim Peter M DE CUYPER DE CUYPER,22/12/2000,Belgium,BEL,Brighton & Hove Albion FC,ENG,182,21,4,,,,,,,,,,,,,,,,,,,,,30.0,17.0,1414.0,15.7,2.0,3.0,0.0,0.0,2.0,0.0,13.0,6.0,18.0,11.0,10.0,0.0,,,100.0,Maxim De Cuyper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MF,WITSEL Axel Axel Laurent A WITSEL WITSEL,12/01/1989,Belgium,BEL,Girona FC,ESP,186,138,12,14.0,9.0,852.0,9.5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,11.0,12.0,0.0,,,100.0,Axel Witsel,32.0,30.0,2526.0,28.1,1.0,2.0,0.0,0.0,2.0,1.0,20.0,5.0,34.0,30.0,24.0,0.0,,,100.0,Axel Witsel,6.0,6.0,539.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,10.0,7.0,5.0,0.0,0.0,0.0,100.0,Axel Witsel,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,4.0,2.0,0.0,,,100.0,Axel Witsel
